Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
2021-06-01,9,9,9,9,9,9,10,9,5,4,3,3,4,3,3,4,4,4,4,4,6,7,9,12
2021-06-02,16,18,16,16,16,18,18,16,9,6,7,9,7,6,5,6,7,7,9,10,10,11,5,4
2021-06-03,6,8,12,14,15,13,13,11,7,8,7,8,7,5,6,4,3,2,3,4,5,9,13,11
2021-06-04,9,11,16,20,20,19,13,7,7,8,8,6,4,5,6,6,3,3,4,4,3,7,11,13
2021-06-05,12,11,10,9,10,11,9,7,4,3,3,4,4,6,7,6,7,3,7,15,18,18,18,17
2021-06-06,20,21,21,20,19,18,14,11,8,6,6,6,6,6,10,11,10,10,11,12,12,14,13,13
2021-06-07,12,12,13,13,13,13,12,7,5,6,5,5,4,4,2,0,0,0,0,0,0,0,0,0
2021-06-08,0,0,0,0,1,1,1,1,1,2,2,7,9999,9999,1,0,3,0,0,2,2,4,5,6
2021-06-09,10,10,8,9,9,7,9,6,6,5,5,6,9,13,15,12,9,7,7,5,7,9,10,13
2021-06-10,14,14,15,10,4,3,3,4,4,5,4,5,5,4,3,4,3,2,2,3,4,5,6,5
2021-06-11,4,6,4,2,4,5,6,4,7,9,9,8,7,8,7,5,4,7,7,8,4,4,3,2
2021-06-12,3,3,3,2,3,5,4,4,4,4,2,2,3,2,2,2,3,3,4,6,8,6,7,6
2021-06-13,8,6,9,10,11,12,11,21,8,4,5,16,22,19,9,1,0,0,0,2,4,4,2,1
2021-06-14,1,2,3,2,2,2,2,2,1,0,0,0,0,0,1,9999,0,0,1,1,1,0,0,0
2021-06-15,1,1,1,1,1,2,2,2,2,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
2021-06-16,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,2,2
2021-06-17,4,4,4,3,4,4,2,2,2,3,3,3,3,3,3,2,4,6,8,8,7,8,10,10
2021-06-18,9,9,9,10,7,5,3,4,3,3,3,4,2,1,2,4,3,3,4,4,6,12,15,15
2021-06-19,6,7,9,15,17,11,8,6,5,9,14,11,9,6,6,3,3,2,2,5,4,6,6,5
2021-06-20,6,8,8,11,10,10,8,6,3,2,2,3,4,3,5,6,6,7,9,11,12,13,14,14
2021-06-21,13,16,11,11,4,2,2,16,4,3,2,1,0,4,3,2,0,1,2,3,5,5,4,4
2021-06-22,5,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3
2021-06-23,4,4,5,4,6,6,5,4,2,2,2,2,1,1,2,2,4,5,5,5,5,5,6,7
2021-06-24,7,6,6,7,7,7,3,3,6,7,7,7,7,7,6,7,5,4,4,5,7,8,9,8
2021-06-25,7,7,7,7,7,8,8,8,8,8,9,9,11,10,8,9,9,10,19,25,17,14,12,10
2021-06-26,8,6,6,6,2,0,0,0,0,2,7,11,12,11,12,10,11,12,11,10,10,10,10,9
2021-06-27,8,9,10,8,8,8,7,5,4,4,6,6,7,7,6,6,5,5,6,6,3,3,4,6
2021-06-28,6,6,7,10,10,9,9,9,11,6,3,4,1,1,0,0,0,0,0,0,1,1,2,3
2021-06-29,6,4,5,4,3,4,12,10,10,8,6,7,7,9,3,2,1,1,0,0,0,0,0,1
2021-06-30,1,1,1,1,3,13,15,10,4,1,0,0,1,1,1,1,1,1,1,2,4,4,5,7
2021-07-01,9,7,6,5,4,4,3,4,6,8,8,9,9,8,6,6,5,3,3,4,5,7,4,3
2021-07-02,3,3,2,2,2,3,3,4,4,4,4,4,4,4,2,3,2,1,2,3,7,6,4,5
2021-07-03,8,9,7,6,6,5,4,2,2,2,2,2,4,8,7,5,5,4,4,3,3,4,5,6
2021-07-04,8,11,10,9,8,8,7,7,6,7,8,5,5,6,6,6,6,5,5,5,8,9,7,6
2021-07-05,4,2,2,3,3,5,11,12,13,13,15,18,21,21,21,18,16,14,14,14,9,8,10,15
2021-07-06,17,18,18,18,19,20,20,18,15,27,33,36,33,25,24,23,19,17,16,17,17,17,17,18
2021-07-07,19,18,17,16,16,17,17,16,12,7,4,4,4,5,9,7,6,4,4,2,2,2,2,2
2021-07-08,4,4,4,3,2,2,2,2,2,3,2,3,3,4,6,6,5,8,10,12,15,18,21,21
2021-07-09,16,13,14,5,2,2,2,1,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2
2021-07-10,1,1,2,2,2,3,2,2,2,2,2,2,2,3,2,2,4,7,7,9,7,15,23,19
2021-07-11,12,13,14,12,8,9,7,5,4,3,3,2,1,2,3,4,5,5,5,6,8,9,5,5
2021-07-12,8,9,10,10,9,11,11,8,5,5,6,6,5,5,4,3,3,4,4,2,2,1,2,2
2021-07-13,3,3,3,4,7,11,9,12,12,12,15,11,6,7,7,6,6,6,5,6,6,1,1,1
2021-07-14,2,2,2,3,3,5,5,4,3,2,2,4,4,3,3,4,5,4,4,4,3,3,4,4
2021-07-15,8,9,11,13,13,10,11,8,6,5,6,7,8,10,12,13,11,11,11,11,9,1,1,2
2021-07-16,2,1,1,1,1,2,3,6,6,8,12,12,12,8,7,7,4,3,6,9,9,9,10,10
2021-07-17,6,5,6,6,6,6,8,8,7,8,11,11,9,9,9,8,6,6,5,4,5,5,6,8
2021-07-18,8,9,9,7,8,8,8,7,5,6,10,12,16,17,16,15,12,11,9,9,9,10,9,10
2021-07-19,13,15,15,14,15,19,23,22,23,27,32,37,41,45,58,60,54,49,47,41,38,37,38,39
2021-07-20,38,39,39,36,34,32,31,33,32,30,30,30,30,32,35,14,7,7,7,5,5,5,4,4
2021-07-21,3,2,3,3,5,7,5,4,3,3,6,5,4,2,2,2,2,2,1,2,2,2,4,5
2021-07-22,6,7,8,6,6,6,5,4,4,4,5,6,5,5,4,4,6,7,7,7,7,7,6,6
2021-07-23,7,6,7,9,10,11,16,8,7,6,6,6,6,6,6,5,5,5,5,6,8,8,9,8
2021-07-24,10,10,12,14,12,13,13,7,7,10,10,9,8,8,12,12,12,19,17,17,14,13,7,2
2021-07-25,3,5,8,11,10,7,6,5,6,13,36,38,38,54,52,40,21,16,32,58,58,49,45,37
2021-07-26,36,33,34,36,37,37,33,27,22,15,14,14,11,14,10,8,8,8,7,5,5,5,6,6
2021-07-27,7,8,9,11,10,11,9,9,8,10,11,12,16,14,14,14,10,9,11,16,18,16,14,14
