Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
2021-06-01,9,7,7,7,8,8,8,10,11,9,8,6,8,7,6,8,8,8,8,8,9,8,8,9
2021-06-02,12,10,16,14,13,13,12,13,15,23,32,29,25,27,21,16,15,16,10,11,11,6,6,11
2021-06-03,16,13,11,12,12,10,4,4,3,5,5,4,7,6,5,5,4,5,5,7,9,7,9,7
2021-06-04,13,17,20,21,16,13,12,8,7,6,6,7,8,8,7,6,4,4,4,5,8,8,8,8
2021-06-05,9,10,10,10,9,8,7,6,7,7,7,6,6,6,5,4,7,9,9,9,9,10,15,10
2021-06-06,11,11,10,8,9,9,9,8,9,11,11,10,10,10,10,9,9,8,8,9,9,8,8,15
2021-06-07,12,11,11,11,11,11,13,13,12,13,13,14,12,10,6,5,5,5,4,5,7,7,7,7
2021-06-08,7,7,6,6,5,5,2,4,5,5,6,5,11,21,27,10,3,2,1,2,3,2,2,3
2021-06-09,4,4,5,7,10,11,11,12,15,27,24,18,13,10,13,14,12,9,7,6,5,4,7,8
2021-06-10,7,13,8,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021-06-11,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,2,3,4,4,4
2021-06-12,4,4,3,3,4,2,3,4,6,5,6,5,2,2,2,3,3,3,3,2,3,8,39,29
2021-06-13,26,18,16,22,24,13,15,7,6,9,9,10,15,20,22,27,12,7,5,3,3,3,3,4
2021-06-14,6,6,7,6,5,5,6,5,4,5,5,5,5,3,2,2,3,8,9,3,4,4,4,5
2021-06-15,5,5,4,4,6,6,6,5,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-06-16,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0
2021-06-17,0,1,1,1,1,3,2,2,3,3,4,3,4,6,6,6,8,8,11,10,9,8,9,10
