OBJECTID,DAUID,DGUID,LANDAREA,PRUID,Municipality,Land_area_in_square_kilometres,a_num_of_total_income_recip15ye,b_Average_total_income_in_2020_,a_num_of_aftax_income_recip15ye,b_Average_aftertax_income_in_20,a_num_of_govt_transfers_recip_1,b_Average_government_transfers_,a_num_of_empl_income_recip_in_2,b_med_empl_income_in_2020_for_f,b_avg_empl_income_in_2020_for_f,a_cti_Market_income_per,b_cti_Employment_income_per,a_cti_Government_transfers_per,Total_Total_income_groups_in_20,a_ig15_Without_total_income,a_ig15_With_total_income,Total_empl_income_groups_in_202,a_Average_total_income_of_house,a_Average_aftertax_income_of_ho,Total_Income_statistics_for_eco,a_Median_total_income_of_econom,Total_Highest_cert_dipl_deg_pop,a_15y_No_cert_dipl_15y_or_degre,a_15y_High_secondary_school_dip,a_15y_Postsecondary_cert_dipl_1,b_15y_Postsecondary_cert_or_dip,c_15y_Apprenticeship_or_trades_,d_15y_Nonapprenticeship_trades_,d_15y_Apprenticeship_cert,c_15y_College_CEGEP_or_other_no,c_15y_University_cert_or_dipl_1,b_15y_Bachelors_degree_or_highe,c_15y_Bachelors_degree,c_15y_University_cert_or_dipl_2,c_15y_Degree_in_medicine_dentis,c_15y_Masters_degree,c_15y_Earned_15y_doctorate,Total_Highest_cert_dipl_deg_p_1,a_25y_No_cert_dipl_25y_or_degre,a_25y_High_secondary_school_dip,a_25y_Postsecondary_cert_dipl_2,b_25y_Postsecondary_cert_or_dip,c_25y_Apprenticeship_or_trades_,d_25y_Nonapprenticeship_trades_,d_25y_Apprenticeship_cert,c_25y_College_CEGEP_or_other_no,c_25y_University_cert_or_dipl_2,b_25y_Bachelors_degree_or_highe,c_25y_Bachelors_degree,c_25y_University_cert_or_dipl_3,c_25y_Degree_in_medicine_dentis,c_25y_Masters_degree,c_25y_Earned_25y_doctorate,Total_Major_study_CIP_2021_15yr,a_15y_No_postsecondary_certific,a_15y_Education,Area_Hectares,ShapeSTArea,ShapeSTLength
1,35180017,2021S051235180017,61.6327,35,Scugog,61.63,710,58200,710,48600,635,9680,275,57600,67000,85.2,56.8,14.9,690,25,665,690,148000,124000,235,131000,755,110,220,425,235,30,10,20,195,10,185,135,20,0,30,0,455,20,110,320,190,15,0,15,165,10,130,85,15,0,25,0,750,330,65,6188.98200991,61889820.0990735,40571.5192668021
2,35180018,2021S051235180018,6.1125,35,Uxbridge,6.11,1180,63000,1180,51400,1030,8820,495,77500,96400,87.6,77.6,12.2,1275,40,1235,1275,142500,116400,455,154000,1250,175,350,720,385,80,10,75,285,25,330,240,10,0,70,10,790,50,155,585,300,60,0,50,220,20,280,205,10,0,65,10,1250,530,40,612.65674692,6126567.4691607,10674.8226078744
3,35180019,2021S051235180019,0.262,35,Uxbridge,0.26,570,64400,570,52200,470,10120,230,83000,96000,87,68.5,13,585,15,575,585,133000,108000,195,139000,585,70,170,345,165,30,15,15,105,30,180,135,20,0,25,0,360,10,85,265,135,20,10,10,100,20,135,115,0,0,15,0,585,240,25,26.19461432,261946.14320508,2366.86689413114
4,35180021,2021S051235180021,0.1923,35,Uxbridge,0.19,390,62200,390,50000,335,9200,135,83000,102000,87,77,12.7,415,10,405,415,120000,96000,135,125000,400,85,125,190,80,15,0,10,65,0,105,85,0,0,15,0,275,25,100,155,55,15,0,15,45,0,95,75,0,0,15,0,400,210,0,19.22152524,192215.252405155,2144.66802523819
5,35180022,2021S051235180022,0.2121,35,Uxbridge,0.21,395,54800,395,44800,340,10200,150,67000,82000,84,70,16.2,345,5,335,345,101000,82000,115,104000,400,55,135,215,115,20,10,10,95,10,90,55,20,0,15,0,295,15,95,185,100,15,0,10,75,10,80,45,25,0,15,0,405,190,20,21.20689779,212068.97791583,2309.86594603232
6,35180024,2021S051235180024,0.3922,35,Uxbridge,0.39,430,58800,430,49400,380,11880,170,75500,75000,82,66,18,420,0,410,420,147000,124000,150,155000,435,40,145,245,145,25,20,10,115,0,105,65,15,0,20,0,250,15,65,170,100,10,10,10,85,0,70,45,0,0,20,0,435,190,25,39.21404025,392140.402529535,2857.54527126562
7,35180025,2021S051235180025,0.1754,35,Uxbridge,0.18,420,47400,420,40200,365,11680,120,67000,75000,79,58,21.2,455,15,440,455,92000,78000,160,116000,435,55,155,220,140,15,15,0,125,0,80,60,0,0,15,0,185,0,60,130,80,0,0,0,75,0,45,35,0,0,0,0,435,210,20,17.53778523,175377.8522834,1880.0638420095
8,35180026,2021S051235180026,1.6556,35,Uxbridge,1.66,1075,65600,1085,52600,970,12000,340,96000,109200,83.6,62.4,16.6,1090,25,1065,1090,123600,100000,375,135000,1095,150,290,655,360,70,40,25,265,35,290,185,25,15,55,10,620,40,125,450,225,30,10,15,165,20,230,150,10,0,45,0,1095,440,50,165.75927469,1657592.74685259,7067.29195343327
9,35180027,2021S051235180027,0.3599,35,Uxbridge,0.36,465,81600,465,63000,390,6000,240,93000,113000,94,85,6.2,505,20,485,505,200000,154000,180,166000,485,30,115,335,150,35,10,25,95,20,185,135,20,0,35,0,340,0,55,280,120,25,0,15,75,20,160,115,15,0,30,0,485,150,30,35.98295664,359829.56637499,2610.02042653759
10,35180028,2021S051235180028,4.4141,35,Uxbridge,4.41,1065,70000,1065,56000,955,11100,340,94000,108800,85.6,64,14.3,1100,25,1070,1100,151000,120800,400,147000,1090,80,350,660,325,70,20,50,235,20,340,285,0,0,45,10,675,25,175,475,240,45,10,35,180,15,240,215,0,0,20,0,1095,425,40,442.44616433,4424461.64329633,8731.51085858978
11,35180035,2021S051235180035,6.3323,35,Uxbridge,6.33,1195,70400,1195,56600,1090,10160,340,94000,107200,86.8,55.6,13.2,1200,30,1165,1200,146500,117600,370,144000,1230,205,315,715,300,55,25,25,235,15,415,335,15,0,55,0,605,55,125,430,155,30,10,20,115,10,275,205,15,10,40,0,1230,515,80,638.72941187,6387294.11870483,10745.1033830572
12,35180038,2021S051235180038,2.0946,35,Uxbridge,2.09,1090,64400,1090,53200,965,11360,370,86000,90800,84.4,64,15.6,1160,40,1120,1160,130500,108000,420,148000,1115,150,410,555,265,50,10,45,195,20,290,215,25,10,45,0,625,25,200,405,190,25,0,25,155,10,210,155,15,0,35,0,1120,565,60,210.35633223,2103563.32232669,6662.40407813359
13,35180039,2021S051235180039,24.9883,35,Scugog,24.99,505,73200,505,57000,445,9000,150,86000,120000,89,68,11,520,15,510,520,168000,131000,180,156000,530,60,140,335,150,35,20,25,90,20,185,125,20,0,40,0,315,20,60,235,110,35,15,20,65,0,130,85,15,0,30,0,535,190,10,2534.45567826,25344556.7826291,22606.1203529284
14,35180042,2021S051235180042,4.2238,35,Scugog,4.22,930,66200,930,53400,825,8760,410,85000,94000,88.4,72,11.7,910,35,875,910,149500,120800,345,135000,965,165,265,535,290,45,10,35,220,20,250,210,10,0,30,0,560,25,140,395,220,30,0,25,170,20,180,145,0,0,25,0,965,430,55,422.31871912,4223187.19119609,9517.74131524591
15,35180043,2021S051235180043,0.4063,35,Scugog,0.41,440,65200,440,52600,400,9880,145,88000,100000,86,67.5,13.8,495,15,485,495,141000,114000,175,124000,450,55,135,260,145,20,10,10,115,15,120,75,20,0,0,0,250,10,75,175,95,10,0,0,75,10,80,55,10,0,10,0,450,190,20,40.62841307,406284.130717205,2986.6612257112
16,35180044,2021S051235180044,0.1842,35,Scugog,0.18,360,61200,360,49200,305,11300,110,78000,82000,84,55,15.6,365,10,355,365,127000,102000,130,130000,360,35,115,210,130,40,20,20,85,10,75,60,0,0,10,0,220,0,55,160,95,15,10,10,65,10,70,50,0,0,15,0,360,155,10,18.41750276,184175.027617845,2093.40475362533
17,35180045,2021S051235180045,0.1268,35,Scugog,0.13,,,,,,,,,,,,,,,,,,,,,195,40,65,85,60,20,0,15,35,0,35,30,0,0,0,0,70,0,25,45,35,10,0,10,25,0,15,0,0,0,0,0,195,105,0,12.68199179,126819.91791157,1531.19448315454
