Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
2021-06-01,7,8,8,8,8,9,11,10,9,6,5,5,5,6,6,6,6,5,6,9,9,9,13,19
2021-06-02,17,19,27,21,22,21,24,23,15,6,7,10,7,9,8,7,8,9,11,12,11,9,4,4
2021-06-03,4,13,19,23,16,11,11,9,10,8,11,7,5,7,5,4,4,4,6,7,10,8,5,5
2021-06-04,7,10,15,18,15,11,9,6,6,6,5,4,5,6,5,6,4,5,5,4,7,8,7,8
2021-06-05,10,11,11,10,9,9,8,6,7,6,6,7,8,8,7,11,10,11,13,13,13,13,13,12
2021-06-06,12,13,13,13,12,12,11,10,11,11,12,12,12,12,13,12,11,12,12,11,11,10,9,8
2021-06-07,10,9,10,11,15,12,9,9,10,10,10,9,10,9,6,4,3,3,3,4,4,4,4,4
2021-06-08,4,3,3,5,8,7,6,6,7,6,9,16,18,12,5,4,3,3,4,4,6,9,9,7
2021-06-09,6,7,9,9,9,10,11,8,7,9,10,11,13,14,18,14,11,11,10,9,9,8,7,7
2021-06-10,6,7,8,8,6,4,3,2,2,2,3,3,3,3,2,3,1,1,1,1,1,2,2,2
2021-06-11,2,2,2,2,2,3,3,3,2,4,3,3,3,5,8,6,8,9,9,5,4,4,4,6
2021-06-12,8,7,7,9,6,7,7,10,11,10,6,7,7,5,4,4,5,6,7,9,9,9,14,14
2021-06-13,11,11,11,13,14,12,10,6,6,4,9,27,28,24,18,10,7,7,5,5,5,4,3,4
2021-06-14,3,4,5,5,5,5,4,3,4,4,3,3,3,3,3,2,4,1,2,2,2,3,3,4
2021-06-15,5,4,4,4,6,8,8,7,5,3,3,2,3,3,3,3,4,3,3,3,4,4,5,3
2021-06-16,5,4,4,4,4,4,3,4,4,3,2,2,2,3,3,3,5,4,5,4,6,6,8,4
2021-06-17,10,6,9,8,9,12,8,8,8,3,3,4,4,4,3,4,6,8,9999,11,11,10,10,8
2021-06-18,9,23,10,9,7,6,6,4,2,4,6,7,7,6,9,10,8,7,9,11,10,11,12,13
2021-06-19,9,7,8,9,12,12,9,7,6,7,7,6,5,3,5,2,2,2,2,4,3,2,3,5
2021-06-20,8,9,9,9,10,10,7,6,3,3,4,5,6,6,6,8,8,9,10,12,12,12,11,11
2021-06-21,12,14,12,9,5,5,4,4,5,6,5,4,4,6,6,8,3,1,1,1,2,2,2,2
2021-06-22,1,1,3,4,1,4,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,3,6,10
2021-06-23,9,7,4,6,9,14,8,7,9,2,2,1,1,1,1,1,2,3,4,4,4,5,5,5
2021-06-24,6,6,5,7,6,4,4,7,7,9,9,7,8,8,7,6,6,7,8,9,10,9,9,8
2021-06-25,7,7,7,7,7,7,8,8,7,9,9,10,12,11,12,13,13,13,16,20,27,24,13,10
2021-06-26,9,9,9,8,5,4,3,3,4,5,9,10,11,11,11,11,11,11,11,10,10,10,10,9
2021-06-27,9,9,9,10,9,9,8,8,8,8,9,9,10,9,8,8,9,10,10,8,6,6,7,6
2021-06-28,6,6,6,7,6,7,6,6,7,7,7,5,5,4,4,4,4,4,4,4,5,5,6,8
2021-06-29,5,4,5,7,8,7,8,9,6,6,7,7,8,8,7,5,4,4,4,3,3,3,4,4
2021-06-30,3,3,3,4,5,7,8,8,4,3,2,3,3,3,2,3,3,2,3,2,3,4,4,4
2021-07-01,4,6,4,4,4,4,3,3,3,3,5,6,6,5,3,4,3,3,2,2,3,3,1,1
2021-07-02,1,2,2,1,1,1,1,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,4
2021-07-03,5,4,4,3,3,2,2,2,2,2,2,4,6,5,4,3,4,3,4,3,4,4,4,7
2021-07-04,9,14,16,14,13,13,9,8,8,10,11,9,8,7,8,8,7,6,6,4,5,5,3,4
2021-07-05,2,3,4,4,5,7,5,6,9,18,24,23,23,23,20,19,17,17,17,19,17,16,17,18
2021-07-06,20,21,22,22,23,22,21,20,17,15,16,20,25,25,27,25,22,18,18,17,16,16,17,17
2021-07-07,17,17,17,11,14,16,17,17,16,7,3,4,4,4,4,4,4,2,2,1,1,1,1,1
2021-07-08,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,8,9,12,11,10,12,16,16
2021-07-09,17,16,4,3,3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,3
2021-07-10,3,2,2,3,3,3,3,3,3,2,3,3,2,2,3,4,4,5,5,7,9,6,7,6
2021-07-11,5,9,8,8,8,9,8,6,6,5,3,4,6,7,7,8,9,10,9,9,9,10,9,7
2021-07-12,6,6,7,7,7,10,9,7,7,6,6,6,5,3,3,3,4,4,3,2,3,3,3,3
2021-07-13,3,3,4,8,23,17,14,13,13,17,12,8,6,8,7,5,6,6,6,6,5,5,3,2
2021-07-14,3,4,7,8,6,7,6,5,5,5,5,5,5,6,6,5,4,4,4,4,3,3,3,5
2021-07-15,6,8,8,9,9,9,8,7,6,6,6,7,9,9,11,13,12,13,12,11,11,7,3,3
2021-07-16,3,4,3,3,3,3,3,4,6,9,14,23,15,12,9,3,3,5,7,7,7,8,7,7
2021-07-17,6,6,8,8,11,11,11,10,10,8,10,10,9,9,9,9,8,6,6,-999,-999,-999,-999,-999
2021-07-17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2021-07-17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9999,9999,9999,53,61,84,89,54,59,54,57,43,37,36
2021-07-20,41,38,39,37,36,35,34,38,40,35,36,34,32,36,36,24,9,9,8,8,5,5,4,4
2021-07-21,3,3,3,3,3,5,5,4,3,4,5,5,2,2,1,1,1,1,1,1,1,1,3,6
2021-07-22,8,9,9,7,7,7,6,3,3,3,6,6,6,6,5,5,6,7,7,7,7,8,9,6
2021-07-23,5,7,8,10,10,12,9,8,7,7,6,8,9,6,5,6,9,10,10,10,12,10,9,11
2021-07-24,13,11,11,10,12,12,13,10,9,10,11,11,10,13,15,13,21,21,20,17,14,14,10,8
2021-07-25,8,9,9,11,10,10,8,9,10,11,25,49,64,66,43,43,31,12,20,37,40,33,34,36
2021-07-26,37,37,37,36,40,39,36,31,26,21,18,16,14,13,10,8,7,7,7,6,6,7,7,8
2021-07-27,9,10,10,11,11,13,13,12,12,12,13,17,17,18,14,13,16,15,13,12,15,20,18,16
2021-07-28,15,16,16,15,15,15,15,12,14,15,15,13,11,11,9,9,10,8,7,6,5,4,4,6
2021-07-29,8,10,7,8,8,8,9,9,7,10,10,11,9,9,9,10,12,13,11,10,10,9,10,11
2021-07-30,14,15,15,13,9,5,4,2,2,2,1,1,1,2,2,3,3,2,2,3,3,5,4,4
2021-07-31,3,3,4,4,3,3,4,4,2,2,3,3,3,4,8,6,6,6,8,6,6,8,7,6
2021-08-01,7,8,10,13,15,12,7,5,4,5,5,7,14,14,14,7,3,3,2,3,3,4,5,6
2021-08-02,6,7,6,5,5,4,4,4,3,3,2,2,2,1,1,1,2,3,3,3,3,4,5,7
2021-08-03,8,10,13,14,14,14,10,7,6,9,12,14,14,12,9,9,11,10,6,5,5,6,8,10
2021-08-04,12,14,19,20,21,21,22,18,17,13,14,14,13,14,12,9,8,9,8,8,7,5,7,11
2021-08-05,13,13,12,14,15,16,20,26,13,12,13,14,15,11,12,13,12,12,9,10,10,8,9,11
2021-08-06,13,16,15,17,16,14,11,6,7,10,17,20,20,14,13,12,12,12,12,12,13,13,13,13
2021-08-07,14,14,15,15,15,17,15,15,13,11,12,12,13,12,11,9,11,12,13,14,15,15,13,17
2021-08-08,20,22,21,20,20,26,33,31,16,12,10,10,10,10,10,11,13,13,13,13,14,16,17,17
2021-08-09,16,16,16,16,16,16,17,15,13,13,12,12,12,11,11,10,10,11,12,13,14,15,15,15
2021-08-10,17,17,16,13,12,12,12,12,11,9,12,9,8,6,9,10,9,10,9,5,4,4,4,5
2021-08-11,6,8,12,12,8,8,6,6,4,5,7,7,7,7,8,8,7,8,7,6,6,8,8,6
2021-08-12,5,5,6,6,7,5,4,3,3,3,3,2,3,5,6,8,8,9,9,10,11,11,9,9
2021-08-13,9,9,9,8,9,9,9,9,10,9,9,9,9,9,9,11,7,7,7,6,5,5,4,3
2021-08-14,4,6,6,4,5,5,2,2,2,4,3,2,2,1,2,2,3,3,2,4,5,2,5,8
2021-08-15,7,5,6,7,7,4,3,2,3,4,3,2,3,2,2,2,2,2,3,3,3,3,4,5
2021-08-16,7,8,8,9,9,9,8,7,5,3,5,6,6,5,5,5,4,5,5,6,6,5,5,5
2021-08-17,6,7,7,8,10,9,7,7,6,6,8,10,11,9,9,7,7,7,7,8,9,6,5,6
2021-08-18,7,7,6,7,8,10,11,10,16,23,23,24,11,5,5,5,3,3,3,3,3,2,3,4
2021-08-19,4,4,4,4,5,5,5,5,5,6,6,5,6,6,6,6,6,6,6,7,5,6,6,6
2021-08-20,8,9,8,8,10,11,12,9,7,7,9,10,10,11,12,12,11,10,11,11,12,16,13,12
2021-08-21,11,11,10,11,11,11,11,11,10,11,15,15,13,12,11,9,9,7,7,7,8,10,12,15
2021-08-22,15,15,14,14,13,14,13,12,10,9,10,10,10,10,11,13,11,11,12,13,12,11,10,9
2021-08-23,9,10,9,10,10,11,11,10,11,11,11,10,9,9,10,9,7,5,5,5,4,6,7,9
2021-08-24,9,10,11,12,12,12,11,10,8,9,9,8,7,6,7,6,7,8,7,8,6,8,11,12
2021-08-25,15,16,18,14,14,16,16,14,11,10,11,11,12,10,11,9,8,8,8,8,8,6,5,5
2021-08-26,6,6,6,6,7,8,10,10,10,9,8,9,9,8,9,10,12,14,9,7,7,8,9,9
2021-08-27,10,10,9,8,8,8,9,9,6,4,3,3,3,3,3,6,6,3,3,4,3,2,5,5
2021-08-28,3,3,2,2,2,2,3,3,3,6,8,6,7,8,10,11,7,8,7,6,6,6,6,6
2021-08-29,6,7,8,9,9,10,10,10,10,11,11,13,15,16,15,15,14,13,13,12,5,5,4,4
2021-08-30,4,4,5,7,8,9,9,9,8,11,10,8,7,5,3,3,4,4,5,3,2,2,3,4
2021-08-31,4,4,4,4,5,5,5,5,5,6,7,5,4,5,4,2,1,1,1,1,1,1,2,2
