Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
2021-06-01,11,11,11,9,10,10,9,7,6,5,4,4,4,4,5,5,6,7,8,8,10,11,11,11
2021-06-02,11,12,11,11,12,13,16,14,10,7,7,9,10,11,9,8,7,8,10,11,11,12,11,10
2021-06-03,7,11,14,15,14,16,16,12,14,13,11,10,10,9,10,9,7,7,7,8,7,9,9,12
2021-06-04,17,19,16,14,15,15,12,8,7,6,5,6,6,9,5,3,6,5,4,4,6,9,8,12
2021-06-05,13,13,11,11,9,8,7,6,4,5,4,4,5,6,6,7,7,6,7,7,8,10,14,14
2021-06-06,14,14,15,15,14,13,11,10,10,9,9,9,10,11,11,10,11,12,10,11,15,15,15,14
2021-06-07,11,10,10,10,9,9,9,8,8,10,12,11,12,11,11,11,11,9,8,7,7,7,6,7
2021-06-08,7,7,7,7,5,4,5,3,2,4,6,6,6,6,5,5,3,4,5,5,6,7,8,8
2021-06-09,8,12,16,17,16,16,10,10,9,8,8,9,11,12,13,13,9,8,6,9,9,9,7,8
2021-06-10,8,9,7,4,2,1,1,2,2,2,2,2,2,2,4,3,3,3,3,2,2,2,2,2
2021-06-11,1,2,1,1,2,2,3,2,2,3,3,3,3,3,6,10,9,7,2,5,8,8,10,10
2021-06-12,9,8,8,6,6,7,6,7,6,4,4,5,5,4,5,5,5,6,7,9,10,13,12,8
2021-06-13,11,8,10,11,5,11,12,11,6,4,5,7,8,11,13,13,12,12,10,10,10,8,9,7
2021-06-14,7,6,5,5,4,3,3,2,2,2,2,3,4,4,4,3,3,3,2,2,3,5,3,4
2021-06-15,3,3,4,5,8,7,5,4,4,4,3,3,2,2,2,2,2,2,2,2,2,3,3,2
2021-06-16,2,2,2,2,2,3,3,2,1,2,2,2,2,2,2,2,1,1,1,2,2,3,3,3
2021-06-17,5,5,4,4,4,3,3,3,3,2,3,3,3,3,2,3,3,4,6,7,8,10,10,8
2021-06-18,8,9,10,10,12,11,8,9,8,9,11,8,10,12,8,9,11,13,17,18,12,13,14,15
2021-06-19,16,15,14,13,10,10,6,5,3,3,5,6,5,5,5,4,3,3,2,5,5,5,5,6
2021-06-20,6,5,4,4,5,4,3,4,2,2,1,1,2,3,3,5,7,8,9,9,13,14,12,12
2021-06-21,11,11,10,8,17,14,8,8,7,7,6,5,4,6,5,5,2,1,1,1,1,1,1,1
2021-06-22,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,4
2021-06-23,1,2,1,1,2,2,2,1,2,2,2,1,1,1,2,2,4,6,6,5,7,8,7,7
2021-06-24,8,9,9,10,7,8,9,9,9,9,11,7,8,8,7,7,8,9,8,7,7,7,9,7
2021-06-25,9,10,9,9,8,7,7,9,9,9,11,14,15,12,9,12,15,18,21,27,28,26,19,13
