Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
2021-06-01,6,5,5,5,6,7,8,9,6,7,6,5,5,6,5,5,5,6,6,6,7,7,8,9
2021-06-02,11,10,11,12,13,14,15,14,9,7,9,6,7,6,6,6,10,13,9,8,9,9,7,11
2021-06-03,14,19,23,17,19,12,13,10,14,15,17,9,7,5,7,8,5,7,10,11,15,17,12,8
2021-06-04,9,14,24,24,20,20,14,9,7,8,10,8,7,6,8,5,6,6,6,6,7,8,8,8
2021-06-05,10,8,8,8,7,7,6,5,5,5,5,6,5,6,6,8,5,6,9,10,12,12,11,10
2021-06-06,10,10,11,11,12,11,10,10,9,10,12,12,11,10,10,10,10,11,10,10,11,15,10,10
2021-06-07,12,11,12,12,12,14,15,14,12,11,11,12,12,9,8,5,4,5,6,6,6,6,7,6
2021-06-08,5,5,6,6,9,8,7,11,15,15,13,11,12,14,19,10,6,2,2,2,2,3,5,7
2021-06-09,11,11,10,11,10,10,10,12,11,12,14,12,11,12,11,11,10,10,10,8,6,6,5,5
2021-06-10,5,7,8,7,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2
2021-06-11,2,2,2,2,3,4,3,3,4,6,7,8,11,9,9,8,11,11,8,7,7,7,9,10
2021-06-12,9,8,10,9,8,7,7,9,8,9,8,7,6,6,5,5,5,5,5,5,6,8,9,10
2021-06-13,8,7,7,8,10,12,9,7,8,8,9,23,27,24,25,23,11,9,8,6,6,5,4,4
2021-06-14,4,5,6,6,6,5,4,4,2,3,4,3,9999,3,3,4,5,5,4,5,4,3,4,3
2021-06-15,4,4,3,2,4,5,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,3,4
2021-06-16,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,4,3,3
2021-06-17,3,4,6,5,6,5,7,8,5,4,4,5,5,4,5,5,6,8,8,7,6,6,7,6
2021-06-18,6,8,7,8,10,11,11,13,12,12,13,16,15,12,20,16,15,14,13,14,14,14,14,14
2021-06-19,12,10,12,10,12,13,10,10,7,2,1,1,1,1,1,2,1,2,1,1,2,2,4,6
2021-06-20,6,8,9,10,7,8,7,8,8,8,6,6,6,6,6,6,6,6,7,7,7,7,6,7
2021-06-21,5,4,11,14,6,5,6,6,6,5,5,5,5,6,6,4,2,2,1,1,1,1,1,1
2021-06-22,1,1,1,1,1,1,1,1,1,1,1,9999,1,1,1,1,1,1,1,6,12,12,14,11
2021-06-23,9,6,6,7,7,8,8,5,3,5,6,7,7,7,6,5,5,4,5,4,4,3,2,3
2021-06-24,3,7,11,10,9,9,11,13,12,13,10,8,8,7,8,7,5,7,9,9,7,8,8,8
2021-06-25,8,9,8,7,8,8,8,11,12,13,14,15,14,15,13,15,16,17,17,17,16,18,15,13
2021-06-26,10,12,13,13,11,9,6,6,7,10,11,12,13,13,12,11,10,10,11,12,11,10,10,11
2021-06-27,13,11,12,12,11,10,10,11,9,10,10,11,11,11,9,7,7,9,9,7,6,6,7,7
2021-06-28,7,8,10,10,8,8,8,8,7,7,8,8,6,5,6,7,8,8,7,7,9,8,7,6
2021-06-29,8,9,6,5,5,7,6,7,9,12,10,10,9,9,9,8,6,3,2,4,4,4,4,5
2021-06-30,5,5,5,4,5,7,9,8,9,9,7,5,5,5,5,4,3,2,1,2,2,2,3,2
2021-07-01,2,2,2,2,2,2,2,3,3,3,3,4,4,3,3,5,6,8,4,3,8,17,7,6
2021-07-02,4,3,4,4,3,3,3,3,3,4,3,3,2,2,2,2,2,2,4,6,6,4,5,4
2021-07-03,4,4,3,3,2,2,2,2,2,2,2,2,3,4,4,7,7,9,6,5,4,3,8,11
2021-07-04,12,14,13,15,13,8,6,5,6,10,11,13,10,11,10,8,7,6,4,6,6,4,4,4
2021-07-05,4,5,6,10,11,15,14,11,11,14,18,24,24,25,18,22,22,19,18,17,16,17,15,16
2021-07-06,18,19,22,21,20,19,18,18,15,13,15,19,21,20,20,18,15,13,12,13,13,15,18,17
2021-07-07,15,16,16,13,13,16,17,17,9,5,4,4,4,3,3,2,2,1,1,1,1,2,1,1
2021-07-08,1,1,1,1,1,1,2,2,2,2,4,4,2,3,6,5,13,11,10,11,11,11,7,6
2021-07-09,6,6,5,6,3,4,3,3,2,3,2,3,3,3,3,4,4,3,3,3,2,2,2,2
2021-07-10,3,2,3,4,4,3,2,2,2,2,2,2,3,5,6,6,6,5,5,3,3,3,3,2
2021-07-11,4,6,9,4,8,14,11,7,7,7,7,8,8,11,11,10,11,10,9,9,7,5,4,5
2021-07-12,5,4,6,7,8,11,11,8,6,6,5,4,4,3,3,2,2,2,2,2,2,2,4,4
2021-07-13,4,5,6,8,15,20,19,18,17,15,13,9,9,9,10,9,10,8,9,8,8,8,8,7
2021-07-14,6,6,8,9,10,10,8,4,5,5,3,3,4,4,4,4,4,5,7,4,3,3,3,5
2021-07-15,6,6,6,3,4,5,8,10,9,7,6,7,8,11,10,12,13,14,14,13,12,10,6,6
2021-07-16,7,6,4,4,5,4,3,5,7,12,9,5,4,5,6,9,9,4,2,4,6,7,7,8
2021-07-17,8,6,5,5,5,6,8,8,10,10,12,10,10,10,9,8,7,7,6,3,2,4,5,6
2021-07-18,7,9,8,9,10,10,11,10,11,12,12,12,13,13,19,21,24,20,13,11,9,8,7,10
2021-07-19,13,13,12,10,7,9,13,13,14,20,28,33,36,35,44,76,65,58,59,62,60,51,42,40
2021-07-20,36,39,41,40,38,37,34,33,34,34,36,36,34,31,33,29,11,9,8,7,6,6,6,6
2021-07-21,5,4,3,5,4,4,4,3,3,3,2,3,1,1,1,1,1,1,1,1,3,3,2,2
