Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
2021-06-01,10,11,11,11,11,11,13,9,7,9,9,8,7,7,7,6,7,7,8,8,9,12,15,16
2021-06-02,17,16,16,14,13,10,4,6,7,9,7,7,8,7,6,4,3,5,7,8,10,12,11,14
2021-06-03,16,14,12,10,7,8,13,9,10,11,15,6,3,5,3,2,2,3,6,7,13,13,12,14
2021-06-04,14,14,10,7,9,9,8,8,9,12,15,10,7,6,7,7,4,4,5,6,8,9,10,14
2021-06-05,12,14,14,15,18,15,10,3,3,4,4,3,3,6,6,7,5,7,10,11,14,14,15,17
2021-06-06,17,18,16,16,18,19,17,13,11,10,10,10,10,9,9,9,9,9,11,13,16,14,13,13
2021-06-07,13,17,15,16,16,14,12,11,10,9,11,13,11,9,6,3,1,1,2,2,3,3,3,4
2021-06-08,5,7,7,6,7,7,7,9,9,11,9,10,10,6,3,2,3,10,10,9,7,6,11,12
2021-06-09,6,8,8,6,6,8,8,7,7,7,7,9,12,11,10,8,7,7,8,9,9,9,11,11
2021-06-10,8,6,6,5,4,4,3,3,2,2,2,2,3,3,2,2,3,2,3,4,6,8,6,6
2021-06-11,7,7,5,4,5,4,4,4,4,4,4,5,4,6,4,7,11,9,4,5,7,7,7,7
2021-06-12,7,7,4,4,4,5,5,4,3,3,4,5,4,4,4,4,3,3,4,6,10,8,4,9
2021-06-13,14,13,11,10,13,12,10,7,6,5,6,8,7,7,9,9,13,16,13,10,8,9,11,11
2021-06-14,12,9,6,5,2,2,2,2,3,3,3,4,4,5,6,4,3,2,2,2,3,3,2,2
2021-06-15,2,2,2,3,7,10,9,6,4,4,4,4,4,3,3,3,2,3,3,3,4,5,4,5
2021-06-16,5,5,5,5,5,4,2,2,1,2,3,4,3,3,3,4,4,5,4,5,7,9,8,6
2021-06-17,6,6,6,5,5,4,3,2,2,2,2,2,4,3,4,3,3,4,5,6,7,7,9,8
2021-06-18,10,11,10,7,5,6,6,5,7,7,5,6,8,7,6,5,8,13,13,13,11,10,11,13
2021-06-19,16,13,11,13,11,10,2,1,3,4,3,4,4,5,5,4,4,4,3,1,2,5,6,8
2021-06-20,6,5,6,5,5,5,2,2,3,3,4,2,2,3,2,3,2,4,7,10,11,11,10,9
2021-06-21,8,7,8,9,13,9,2,1,1,1,2,3,2,2,3,3,1,0,1,2,2,3,3,3
2021-06-22,3,3,2,2,2,2,2,1,2,3,4,2,2,2,2,1,1,1,1,2,4,4,4,4
2021-06-23,3,4,3,3,3,3,3,3,2,2,3,4,5,3,3,3,3,4,3,4,6,8,8,6
2021-06-24,5,5,7,8,8,8,4,3,4,7,7,6,5,5,4,4,6,7,9,8,10,9,5,5
2021-06-25,6,5,5,5,5,4,4,5,6,5,4,4,5,6,6,4,4,9999,9,10,10,12,11,8
2021-06-26,8,7,7,7,8,12,12,12,11,6,8,11,10,11,11,11,13,14,13,12,11,11,11,11
2021-06-27,11,11,13,12,10,10,10,10,11,12,11,9999,11,10,9,7,9,10,10,10,9,7,7,8
2021-06-28,7,7,7,7,8,9999,9,8,8,11,11,10,9,11,3,0,1,1,3,3,2,2,2,2
2021-06-29,2,2,4,4,4,4,5,4,5,7,13,14,19,8,9,8,9,4,6,9,12,17,13,8
2021-06-30,6,4,3,2,3,3,3,5,10,10,5,1,0,0,1,1,1,2,1,1,1,1,1,1
2021-07-01,2,3,3,3,2,1,2,2,3,2,3,4,5,6,5,6,6,3,2,2,3,9999,5,4
2021-07-02,4,4,3,4,4,3,2,2,1,1,2,1,1,1,5,2,1,2,1,1,1,1,1,2
2021-07-03,3,3,3,4,6,6,2,2,2,2,2,2,2,2,2,3,4,5,9,11,10,11,10,8
2021-07-04,6,5,5,6,7,7,4,3,4,5,4,4,4,5,4,4,4,5,6,8,9,6,5,4
2021-07-05,3,2,3,6,8,10,9,8,7,8,7,9,9,9,12,12,11,10,8,5,5,5,6,6
2021-07-06,6,5,5,6,6,6,8,8,12,31,32,35,32,30,27,21,23,19,15,15,15,16,18,19
2021-07-07,18,17,16,15,14,8,3,1,2,1,2,2,2,3,2,1,2,2,2,3,3,3,3,3
2021-07-08,2,3,2,2,2,1,1,2,5,2,2,2,1,0,0,0,0,0,2,2,1,1,3,6
2021-07-09,5,3,3,3,3,3,2,2,2,7,5,7,6,4,1,9999,4,2,1,2,2,2,2,2
2021-07-10,3,6,6,9999,5,4,2,3,3,3,4,5,3,2,2,3,3,5,4,4,3,6,8,8
2021-07-11,8,7,5,4,3,2,1,1,1,1,1,2,1,2,2,2,2,3,3,3,3,4,5,5
2021-07-12,5,4,5,5,5,5,4,4,4,4,5,4,4,4,5,5,4,2,1,1,1,2,1,1
2021-07-13,1,2,2,2,2,2,4,9,8,8,15,7,7,7,7,7,6,7,8,7,6,4,1,2
2021-07-14,2,4,5,5,4,3,2,2,1,2,4,3,3,5,5,5,4,8,11,16,14,12,11,11
2021-07-15,11,10,10,14,11,10,9,9,4,4,5,4,4,6,8,8,9,12,10,11,11,7,2,0
2021-07-16,0,0,1,1,3,6,7,8,16,15,14,14,12,8,6,7,7,3,3,5,6,7,7,7
2021-07-17,7,6,5,5,6,8,9,9,8,8,8,8,9,8,7,7,6,6,5,3,3,4,5,5
2021-07-18,6,6,6,7,9,8,8,8,10,10,10,11,11,11,13,24,29,22,21,24,20,16,15,14
2021-07-19,14,12,11,12,13,13,14,16,21,25,31,36,39,53,78,61,48,49,45,40,37,37,35,33
2021-07-20,32,32,32,31,30,30,32,33,30,28,29,33,38,43,38,20,17,12,11,10,10,9,5,3
2021-07-21,2,2,3,4,5,6,5,4,4,4,5,5,4,2,2,2,1,2,2,2,4,5,5,5
